,col,row
0,63,5
1,64,5
2,79,5
3,80,5
4,63,6
5,64,6
6,67,6
7,68,6
8,69,6
9,70,6
10,79,6
11,80,6
12,53,7
13,54,7
14,55,7
15,56,7
16,57,7
17,58,7
18,59,7
19,60,7
20,61,7
21,62,7
22,63,7
23,64,7
24,65,7
25,66,7
26,67,7
27,68,7
28,69,7
29,70,7
30,71,7
31,72,7
32,73,7
33,74,7
34,75,7
35,76,7
36,77,7
37,78,7
38,79,7
39,80,7
40,81,7
41,82,7
42,83,7
43,84,7
44,53,8
45,54,8
46,55,8
47,56,8
48,57,8
49,58,8
50,59,8
51,60,8
52,61,8
53,62,8
54,63,8
55,64,8
56,65,8
57,66,8
58,67,8
59,68,8
60,69,8
61,70,8
62,71,8
63,72,8
64,73,8
65,74,8
66,75,8
67,76,8
68,77,8
69,78,8
70,79,8
71,80,8
72,81,8
73,82,8
74,83,8
75,84,8
76,44,9
77,45,9
78,46,9
79,47,9
80,48,9
81,49,9
82,50,9
83,51,9
84,52,9
85,53,9
86,54,9
87,55,9
88,56,9
89,57,9
90,58,9
91,59,9
92,60,9
93,61,9
94,62,9
95,63,9
96,64,9
97,65,9
98,66,9
99,67,9
100,68,9
101,69,9
102,70,9
103,71,9
104,72,9
105,73,9
106,74,9
107,75,9
108,76,9
109,77,9
110,78,9
111,79,9
112,80,9
113,81,9
114,82,9
115,83,9
116,84,9
117,85,9
118,86,9
119,43,10
120,44,10
121,45,10
122,46,10
123,47,10
124,48,10
125,49,10
126,50,10
127,51,10
128,52,10
129,53,10
130,54,10
131,55,10
132,56,10
133,57,10
134,58,10
135,59,10
136,60,10
137,61,10
138,62,10
139,63,10
140,64,10
141,65,10
142,66,10
143,67,10
144,68,10
145,69,10
146,70,10
147,71,10
148,72,10
149,73,10
150,74,10
151,75,10
152,76,10
153,77,10
154,78,10
155,79,10
156,80,10
157,81,10
158,82,10
159,83,10
160,84,10
161,85,10
162,86,10
163,38,11
164,39,11
165,40,11
166,41,11
167,42,11
168,43,11
169,44,11
170,45,11
171,46,11
172,47,11
173,48,11
174,49,11
175,50,11
176,51,11
177,52,11
178,53,11
179,54,11
180,55,11
181,56,11
182,57,11
183,58,11
184,59,11
185,60,11
186,61,11
187,62,11
188,63,11
189,64,11
190,65,11
191,66,11
192,67,11
193,68,11
194,69,11
195,70,11
196,71,11
197,72,11
198,73,11
199,74,11
200,75,11
201,76,11
202,77,11
203,78,11
204,79,11
205,80,11
206,81,11
207,82,11
208,83,11
209,84,11
210,85,11
211,86,11
212,14,12
213,15,12
214,16,12
215,17,12
216,18,12
217,19,12
218,20,12
219,21,12
220,22,12
221,23,12
222,24,12
223,25,12
224,26,12
225,27,12
226,28,12
227,29,12
228,30,12
229,37,12
230,38,12
231,39,12
232,40,12
233,41,12
234,42,12
235,43,12
236,44,12
237,45,12
238,46,12
239,47,12
240,48,12
241,49,12
242,50,12
243,51,12
244,52,12
245,53,12
246,54,12
247,55,12
248,56,12
249,57,12
250,58,12
251,59,12
252,60,12
253,61,12
254,62,12
255,63,12
256,64,12
257,65,12
258,66,12
259,67,12
260,68,12
261,69,12
262,70,12
263,71,12
264,72,12
265,73,12
266,74,12
267,75,12
268,76,12
269,77,12
270,78,12
271,79,12
272,80,12
273,81,12
274,82,12
275,83,12
276,84,12
277,85,12
278,86,12
279,14,13
280,15,13
281,16,13
282,17,13
283,18,13
284,19,13
285,20,13
286,21,13
287,22,13
288,23,13
289,24,13
290,25,13
291,26,13
292,27,13
293,28,13
294,29,13
295,30,13
296,31,13
297,32,13
298,33,13
299,34,13
300,35,13
301,36,13
302,37,13
303,38,13
304,39,13
305,40,13
306,41,13
307,42,13
308,43,13
309,44,13
310,45,13
311,46,13
312,47,13
313,48,13
314,49,13
315,50,13
316,51,13
317,52,13
318,53,13
319,54,13
320,55,13
321,56,13
322,57,13
323,58,13
324,59,13
325,60,13
326,61,13
327,62,13
328,63,13
329,64,13
330,65,13
331,66,13
332,67,13
333,68,13
334,69,13
335,70,13
336,71,13
337,72,13
338,73,13
339,74,13
340,75,13
341,76,13
342,77,13
343,78,13
344,79,13
345,80,13
346,81,13
347,82,13
348,83,13
349,84,13
350,85,13
351,86,13
352,14,14
353,15,14
354,16,14
355,17,14
356,18,14
357,19,14
358,20,14
359,21,14
360,22,14
361,23,14
362,24,14
363,25,14
364,26,14
365,27,14
366,28,14
367,29,14
368,30,14
369,31,14
370,32,14
371,33,14
372,34,14
373,35,14
374,36,14
375,37,14
376,38,14
377,39,14
378,40,14
379,41,14
380,42,14
381,43,14
382,44,14
383,45,14
384,46,14
385,47,14
386,48,14
387,49,14
388,50,14
389,51,14
390,52,14
391,53,14
392,54,14
393,55,14
394,56,14
395,57,14
396,58,14
397,59,14
398,60,14
399,61,14
400,62,14
401,63,14
402,64,14
403,65,14
404,66,14
405,67,14
406,68,14
407,69,14
408,70,14
409,71,14
410,72,14
411,73,14
412,74,14
413,75,14
414,76,14
415,77,14
416,78,14
417,79,14
418,80,14
419,81,14
420,82,14
421,83,14
422,84,14
423,85,14
424,86,14
425,14,15
426,15,15
427,16,15
428,17,15
429,18,15
430,19,15
431,20,15
432,21,15
433,22,15
434,23,15
435,24,15
436,25,15
437,26,15
438,27,15
439,28,15
440,29,15
441,30,15
442,31,15
443,32,15
444,33,15
445,34,15
446,35,15
447,36,15
448,37,15
449,38,15
450,39,15
451,40,15
452,41,15
453,42,15
454,43,15
455,44,15
456,45,15
457,46,15
458,47,15
459,48,15
460,49,15
461,50,15
462,51,15
463,52,15
464,53,15
465,54,15
466,55,15
467,56,15
468,57,15
469,58,15
470,59,15
471,60,15
472,61,15
473,62,15
474,63,15
475,64,15
476,65,15
477,66,15
